coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Nov 09 12:16:47 +0000 2020,Pfizer vaccine Pharma,,https://twitter.com/pfizer/status/1325767629890592771,0,1325774333504070000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Great job by the #Pfizer #vaccine scientists who look to have come up with a viable candidate. Fingers crossed that they hit their long-term efficacy endpoints(s) and the safety outcomes don't put the kibosh on it. #Pharma https://t.co/94b0EErqsp,https://twitter.com/NJTrainDelays/status/1325774333504073728,Wed Mar 26 18:32:36 +0000 2014,NJTrainDelays,FALSE,2nd shot in the books! #NJTransit still sucks. I was on QVC once and did hand modeling for an Rx incontinence product (not at the same time).,156178,3044,3993,92,Trapped on #NJTransit ,NJTrainDelays - 46 is the new 32!,NJTrainDelays,125342,,https://m.youtube.com/watch?feature=youtu.be&v=dQw4w9WgXcQ,FALSE
,Tue Nov 10 14:18:28 +0000 2020,,,,1,1326167342338940000,,,,en,"Nutter Fort, WV",,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The coronavirus is 90% effective but they don’t have a clue about long term effects of the vaccine. Yeah , no thanks. 👎🏼👋🏼",https://twitter.com/DaCOCKk_/status/1326167342338945024,Sat Aug 29 21:02:23 +0000 2009,DaCOCKk_,FALSE,,551,237,192,0,,Caitlin🌷,DaCOCKk_,9941,,,FALSE
,Tue Nov 10 03:04:07 +0000 2020,,,https://twitter.com/RickSacrop/status/1306750049603420160,0,1325997637640870000,,,,en,,FALSE,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bother is Profs.of different sections who tell public all about Stats re coronavirus how its dealt with.Their boring of little interest.I am not criticising just to do it. It is facts people will understand.Rushed vaccines aren’t answer. Scientists know it but will they admit it. https://t.co/c4kq10ZENn,https://twitter.com/James82224273/status/1325997637640876032,Tue Jan 08 01:08:23 +0000 2019,James82224273,TRUE,"Ret. Detective,decorated twice, lost granddaughter 2018 can’t stand SNP, want them out power, football fan Rangers&Motherwell Scotland remains U.K.forever.",106619,2418,2434,5,"Lanarkshire ,Scotland",James,James82224273,171173,,,FALSE
,Mon Nov 09 20:07:20 +0000 2020,,,https://twitter.com/Reuters/status/1325891036212768768,0,1325892752467480000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","They say the vaccine will be tested on animals, then I won’t take it.   Never, leave animals alone. Test it on humans they are the ones who have the COVID-19 https://t.co/7m4hL4JSm3",https://twitter.com/thereselawlor4/status/1325892752467488770,Sat Nov 07 03:52:02 +0000 2020,thereselawlor4,TRUE,I love animals and people who loves animals. that’s it . j’aime les animaux et les gens qui aiment les animaux. 🇨🇦 N.B. acadienne,18898,124,266,0,Montreal Canada ,t. lawlor,thereselawlor4,10764,,,FALSE
,Mon Nov 09 20:19:25 +0000 2020,,,https://twitter.com/Reuters/status/1325891036212768768,0,1325895792054420000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I don’t care who tf you voted for. If this goes through the proper scientific/medical procedures, like every other vaccine we take, and is backed by science and scientists don’t fight it. We all should be happy with this news. https://t.co/ZCo9kyZ1Df",https://twitter.com/_SARAHCURTISS_/status/1325895792054427648,Mon Oct 27 21:53:29 +0000 2014,_SARAHCURTISS_,FALSE,Rowan '21💛  VIII.XXI.MMXVIII❤️ she/they,358,148,186,0,,Sarah,_SARAHCURTISS_,476,,,FALSE
,Thu Nov 19 00:10:06 +0000 2020,,,https://twitter.com/nprpolitics/status/1329206524179312648,0,1329215336344800000,,,,en,,FALSE,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","This is the vaccine that's so unstable that it has to be kept at super sub-zero temperatures, right?  If the dissemination of the vaccine is supervised by any Trump admin functionaries, thanks but no thanks, I'll wait for the Moderna vaccine. https://t.co/MUBBODsm9E",https://twitter.com/KaJo503/status/1329215336344809472,Sun Jun 07 01:09:39 +0000 2009,KaJo503,FALSE,"Born during WWII, that should tell you a lot...",39762,961,368,49,Upper Left Coast,Karen J,KaJo503,149263,,,FALSE
,Wed Nov 18 23:37:29 +0000 2020,,,,3,1329207129752860000,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Worried about hypothetical long-term effects of a vaccine? You know what has real long-term effects, including death? COVID-19",https://twitter.com/chloeblanchard/status/1329207129752866819,Thu Jun 25 00:15:18 +0000 2009,chloeblanchard,FALSE,People nerd. Empathy addict.,7309,187,464,12,Canada,Chloe Blanchard,chloeblanchard,6036,,,FALSE
,Wed Nov 18 13:30:42 +0000 2020,,,https://nyti.ms/36PmJai,35,1329054427685240000,,,,en,,FALSE,5,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""It's pretty amazing,"" one immunologist said. Pfizer and BioNTech reported that their coronavirus vaccine is 95 percent effective. https://t.co/bpdOMN4DzS",https://twitter.com/NYTScience/status/1329054427685249027,Sun Mar 18 19:32:05 +0000 2007,NYTScience,FALSE,"Science, Medicine, Environment, Space & Astronomy. Sign up for the Science Times email, in your inbox every Tuesday: https://t.co/kpdN2C1hDy",4207,1172331,465,18070,"New York, NY",NYT Science,NYTScience,96825,,http://www.nytimes.com/science,FALSE
,Thu Dec 03 11:49:42 +0000 2020,,,https://twitter.com/CNN/status/1334429942927470594,0,1334464827666870000,,,,en,"New York, USA",FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",They'll not get the same vaccine as everyone else. https://t.co/euodxe9lrP,https://twitter.com/Eramos503/status/1334464827666870272,Fri Mar 18 02:50:18 +0000 2011,Eramos503,FALSE,"—PUNY THEOLOGY PRODUCES PUNY DOXOLOGY--



- BORN & RAISED 🇸🇻 🇺🇸🇸🇻🇺🇸

**************************  PS. El Café Negro & Dulce Por Favor.",34784,247,67,4,"New York, USA",Enmanuel Ramos,Eramos503,19302,,https://politicalscience.stanford.edu/,FALSE
,Mon Dec 07 22:36:37 +0000 2020,COVID19 SARSCoV2 coronavirus vaccine pandemic,,https://twitter.com/NPR/status/1336002361429463040,0,1336077180095370000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","South Korea has been a leader in mitigating #COVID19 #SARSCoV2 #coronavirus spread. But as with any virus, without the elimination threshold, you are always a few weeks away from trouble. The ABCs of prevention and the #vaccine need to go hand in hand to beat this #pandemic. https://t.co/g0OByFs1jS",https://twitter.com/JATetro/status/1336077180095377408,Mon Apr 06 19:13:41 +0000 2009,JATetro,FALSE,Host of 2X award winning Super Awesome Science Show on @curiouscast. Author of The Germ Code & bestseller The Germ Files. Sharing ABCs of #COVID19 prevention.,19479,11583,7166,461,Canada,Jason 𝑻𝒉𝒆 𝑮𝒆𝒓𝒎 𝑮𝒖𝒚 Tetro,JATetro,90338,,http://jasontetro.com,TRUE
,Mon Nov 09 13:46:05 +0000 2020,,,,0,1325796807738310000,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I’m only gonna take the vaccine because if my great great grandkids die of COVID-19 it will be 100% my fault,https://twitter.com/queencityd/status/1325796807738318850,Thu Aug 08 01:13:05 +0000 2013,queencityd,FALSE,#BLM l yes. i am an african american | #HERETHEYCOME| #KEEPPOUNDING | @thottrader| steppin on niggas,132703,663,1002,3,704,EMVPIID stan account (37-17),queencityd,82332,,,FALSE
,Mon Nov 09 15:17:50 +0000 2020,ibelieveinscience covid19 vaccine goodnews,,https://www.bbc.com/news/health-54873105,3,1325819898421860000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",While we have been fighting and struggling (and also helping each other and coping) ...scientists have been hard at work for us. 👩🏻‍🔬👨🏽‍🔬   https://t.co/8Wj2wiK7B3 😃❤️😃❤️😃❤️ #ibelieveinscience #covid19 #vaccine #goodnews,https://twitter.com/juliaherself/status/1325819898421862400,Sat Aug 01 22:15:34 +0000 2009,juliaherself,FALSE,she/her #freebritney ♡ ☆･:*:･｡･:*:.｡.,9144,368,615,42,"Vancouver, BC",Julia,juliaherself,19059,,https://boxd.it/aqxRK,FALSE
,Mon Nov 09 18:11:18 +0000 2020,COVID19 vaccine Pfizer,,https://immunitybio.com/immunitybios-had5-covid-19-vaccine-candidate-stimulates-memory-t-cell-recall-in-patients-infected-with-sars-cov-2/,1,1325863550821130000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Good news coming out of @immunitybio  and @NantKwest for #COVID19 #vaccine but overshadowed by #Pfizer data released on same day. Timing and Perception is all important when delivering news. https://t.co/FDxoY7NI1D,https://twitter.com/tweetietat/status/1325863550821130241,Sun Dec 12 05:43:58 +0000 2010,tweetietat,FALSE,One voice among many,8106,25,414,0,Third rock from the Sun,CAL,tweetietat,475,,,FALSE
,Mon Nov 09 19:48:00 +0000 2020,,,https://twitter.com/wmbfnews/status/1325819922459594752,0,1325887886953200000,,,,en,"South Carolina, USA",FALSE,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Over my dead fucking body will I take a vaccine or anything else from this administration. HELL NO https://t.co/YVoLEuonDf,https://twitter.com/toribrookesnell/status/1325887886953209856,Tue Dec 06 20:26:57 +0000 2016,toribrookesnell,FALSE,"I ain’t here for a long time, I’m here for a good time insta: @toribrookesnell snap: toribrookejones",2094,53,145,0,"South Carolina, USA",Tori Brooke Snell,toribrookesnell,1480,,,FALSE
,Mon Nov 09 18:10:16 +0000 2020,,https://twitter.com/DineshA58/status/1325863291298734080/photo/1,http://hindustantimes.com/world-news/mad,0,1325863291298730000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Good news 
Very good night 

Leaders hail Pfizer announcement in Covid-19 vaccine development

https://t.co/DpqziRQtrx… https://t.co/ddVItXlhN7",https://twitter.com/DineshA58/status/1325863291298734080,Sun Jun 12 08:12:32 +0000 2016,DineshA58,FALSE,"flow with the wind ,punctuated with Sanskar ,and self https://t.co/DKv67rmf1F political affiliation,poet by passion independent opinions",6352,1325,975,3,"West Bengal, India",Dinesh Agarawal,DineshA58,33155,,,FALSE
,Fri Nov 20 06:45:30 +0000 2020,COVID19 coronavirus bioethics Vatican CatholicChurch,,https://www.catholicnewsagency.com/news/the-ethics-of-modernas-coronavirus-vaccine-80858,2,1329677231128450000,,,,en,,FALSE,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".@Bishopoftyler: ""Moderna vaccine is not morally produced"" #COVID19 #coronavirus #bioethics #Vatican #CatholicChurch https://t.co/92fTn2qSkS",https://twitter.com/kattolikamente/status/1329677231128457216,Fri Oct 02 15:42:51 +0000 2009,kattolikamente,FALSE,"I am an Italian Catholic, husband, teacher, blogger and writer. I'm in an ecclesial movement. Proud to be Catholic therefore counter-revolutionary.",8531,6044,2265,186,"Rome, Italy",Kattoliko Pensiero,kattolikamente,88502,,http://about.me/kattolikamente,FALSE
,Tue Nov 10 01:51:11 +0000 2020,,,https://twitter.com/markets/status/1325979015409266688,0,1325979285937530000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sounds about right.

Don't take any vaccines! https://t.co/3GLDa4EoUr",https://twitter.com/AsianOptionGirl/status/1325979285937532928,Wed Aug 20 15:48:47 +0000 2014,AsianOptionGirl,FALSE,I'm a trader 📉📈. Proud long term investor in $DOGE.  All posts are my opinion and are not advice. Trade @ your own risk.☮🕊,6262,978,102,20,Las Vegas,Samantha Lee,AsianOptionGirl,16121,,,FALSE
,Tue Nov 10 18:17:25 +0000 2020,,,https://twitter.com/MBuhari/status/1326136598677909511,0,1326227476654280000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",To travel is the reason why you're so so happy that vaccine for coronavirus is out. https://t.co/TnQ5AhlNDM,https://twitter.com/sokibest/status/1326227476654284800,Sat Jul 28 07:39:49 +0000 2018,sokibest,FALSE,Simple being,23829,440,2244,0,Nigeria,MEDINA SOKIBEST,sokibest,2564,,,FALSE
,Mon Nov 09 20:25:33 +0000 2020,FoxNews,,https://www.foxnews.com/politics/democrats-balked-at-coronavirus-vaccine-under-trump,0,1325897334018850000,,,,en,,FALSE,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","These Dems balked at a coronavirus vaccine under Trump. Will they change their tune now? https://t.co/MWdCFqhwIQ #FoxNews 
I TRUST TRUMP, I DON'T TRUST THE DEMOCRATS.",https://twitter.com/JohnHotrod14046/status/1325897334018859008,Thu Jan 07 02:29:57 +0000 2016,JohnHotrod14046,TRUE,,13,2,53,0,,John Bianchi,JohnHotrod14046,959,,,FALSE
,Mon Dec 07 03:32:33 +0000 2020,LTC COVID19,,https://twitter.com/wassdoc/status/1335786829816086529,40,1335789264605500000,,,,en,,FALSE,12,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","This is an outstanding initiative and one that is urgently needed in Ontario's #LTC sector in anticipation of the arrival of the #COVID19 vaccine:

cc @DrFullertonMPP @AdvantAgeOnt @OLTCAnews @allan_k_grillMD @NoahIvers @DrSamirSinha @BogochIsaac @LisaLevin1 @DLDunc416 @OnLTCC https://t.co/lSZXpirRhV",https://twitter.com/NathanStall/status/1335789264605507586,Fri Nov 09 04:18:06 +0000 2012,NathanStall,FALSE,Geriatrics/Internal Med @SinaiHealth. Research Fellow @WCRInstitute. PhD(c) Clin Epi @ihpmeuoft. CSTP @UofT_DoM. Vanier Scholar @CIHR_IRSC. Assoc Editor @CMAJ.,6851,13855,1235,225,"Toronto, Canada",Nathan Stall,NathanStall,4218,,https://scholar.google.com/citations?user=EjeUwSQAAAAJ&hl=en,TRUE
,Mon Nov 09 19:36:00 +0000 2020,,,,0,1325884864374050000,macroaggressio3,1.32564E+18,1.23163E+18,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@macroaggressio3 You hear vaccine and warp speed negative combo, look at the MMR vaccine doing to our children. Covid-19 vaccine changes your DNA LAMININ cross Protein 🙏",https://twitter.com/TRUe78902/status/1325884864374059009,Sun Jun 07 18:24:35 +0000 2020,TRUe78902,FALSE,,1693,25,140,0,,lightinthedark,TRUe78902,477,,,FALSE
,Mon Nov 09 06:43:44 +0000 2020,,,https://newslanes.com/care-homes-to-be-first-to-receive-coronavirus-vaccine-that-could-roll-out-before-christmas/,0,1325690517724780000,,,,en,,FALSE,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Care homes to be FIRST to receive coronavirus vaccine that could roll out before Christmas https://t.co/V71edGrw7F,https://twitter.com/newslanes/status/1325690517724782593,Fri Feb 17 10:55:04 +0000 2017,newslanes,FALSE,"Get Latest News and Updates on Fashion, Movies, blogging and much more! Read exclusive latest news on entertainment, music, gaming and more topics.",164,195,117,2,United Kingdom,Newslanes,newslanes,141580,,https://newslanes.com/,FALSE
,Tue Nov 10 12:20:42 +0000 2020,,,https://twitter.com/MBuhari/status/1326136598677909511,1,1326137706003500000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Happy vaccine day! https://t.co/xNgxRH9gNQ,https://twitter.com/ibrand08/status/1326137706003501057,Wed Jul 04 07:02:47 +0000 2012,ibrand08,FALSE,,98588,653,1151,1,Nigeria,Ibroheem Olanrewaju 🇳🇬 🌍,ibrand08,4656,,,FALSE
,Mon Nov 09 06:40:25 +0000 2020,,,https://newsinfo.inquirer.net/1358263/ph-in-talks-with-astrazeneca-for-covid-19-vaccine?utm_medium=Social&utm_source=Twitter#Echobox=1604904025,18,1325689685943990000,,,,en,,FALSE,6,,,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",The Philippine government is in talks with Anglo-Swedish drugmaker AstraZeneca to procure doses of its prospective COVID-19 vaccine. | @DYGalvezINQ https://t.co/dVTpgOZT9h,https://twitter.com/inquirerdotnet/status/1325689685943996416,Wed Jul 16 00:36:41 +0000 2008,inquirerdotnet,FALSE,"Balanced News, Fearless Views. 
https://t.co/9E5AKYooBY",33881,3241060,1824,6082,Makati City,Inquirer,inquirerdotnet,957472,,https://www.inquirer.net,TRUE
,Tue Nov 10 11:53:00 +0000 2020,,,https://www.mirror.co.uk/news/politics/tiny-bottle-holds-hope-humanitys-22984011,7,1326130735154040000,,,,en,,FALSE,3,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tiny bottle holds hope for humanity's future with 10million coronavirus vaccines coming
https://t.co/gJ7tUSEwY2",https://twitter.com/DailyMirror/status/1326130735154044933,Tue Oct 21 14:58:45 +0000 2008,DailyMirror,FALSE,"The official Mirror Twitter account 
(Daily Mirror, Sunday Mirror & Mirror Online)
🗞️ - real news in real time
@MirrorBreaking_ for breaking news 🚨",1367,1252433,4147,6312,UK,The Mirror,DailyMirror,766745,,http://www.mirror.co.uk/,TRUE
,Fri Nov 27 17:09:00 +0000 2020,,,https://reut.rs/3fwNfJv,0,1332370853242300000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",U.S. officials plan to release 6.4 million COVID-19 vaccine doses in first distribution https://t.co/qdxfDKZOR4,https://twitter.com/smellini/status/1332370853242302464,Sun Jan 18 10:52:32 +0000 2009,smellini,FALSE,"rough riding, glum wolf",13818,785,4491,1,"Brooklyn, NY",nick,smellini,5358,,http://www.botsthebook.com,FALSE
,Mon Nov 09 06:11:56 +0000 2020,,,https://www.latesttoday.news/2020/11/07/health/coronavirus-some-canadians-hesitant-to-take-a-covid-19-vaccine-global-news/,0,1325682517148560000,,,,en,,FALSE,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Coronavirus: Some Canadians hesitant to take a COVID-19 vaccine – Global News https://t.co/pOgrnxWbGL,https://twitter.com/k29664911/status/1325682517148569600,Sun Sep 13 13:07:51 +0000 2015,k29664911,FALSE,#news #follome　#follo　,0,278,1171,1,America,Today's news summary,k29664911,254712,,https://www.latesttoday.news/,FALSE
,Tue Nov 10 10:03:50 +0000 2020,COVID19 WorldScienceDay,,https://twitter.com/pfizer/status/1325767629890592771,44,1326103263779970000,,,,en,,FALSE,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Good news from @pfizer and @BioNTech_Group about a possible #COVID19 vaccine candidate. Kudos to everyone on this #WorldScienceDay who work tireless to help combat the pandemic👏 https://t.co/7NCujdV0Dh,https://twitter.com/LarsFruergaard/status/1326103263779971072,Wed May 25 18:44:11 +0000 2016,LarsFruergaard,FALSE,"President & CEO, @novonordisk",209,1479,89,19,"Copenhagen, Denmark",Lars Fruergaard,LarsFruergaard,104,,http://www.novonordisk.com,FALSE
,Mon Nov 09 07:20:29 +0000 2020,,https://twitter.com/GMB/status/1325699765930254336/video/1,https://bit.ly/2MLB661,116,1325699765930250000,,,,en,,FALSE,16,,,"<a href=""http://grabyo.com"" rel=""nofollow"">Grabyo</a>","Hospitals are reportedly being prepped for a possible coronavirus vaccine roll out within three weeks. 

@Drhilaryjones says it is optimistic to think many people will be vaccinated before Christmas - but it is good news. 

Watch GMB for the latest👉https://t.co/fzcHkA6S4k https://t.co/OEMR7IaZTW",https://twitter.com/GMB/status/1325699765930254336,Sat Jan 24 00:25:12 +0000 2009,GMB,FALSE,The UK's most talked about breakfast television show. Weekdays from 6am on @ITV. Replies & content may be used on air. See https://t.co/u4BYxXFfJq,5241,872293,2956,1783,London,Good Morning Britain,GMB,80760,,http://www.itv.com/gmb,TRUE
,Thu Dec 03 21:34:46 +0000 2020,tweets ToriesOut COVID19 Elections2020 ToriesEnemyOfThePeople ToryScum NoMoreCoverUps,,,0,1334612064346760000,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Why's @twitter censorship of #tweets of #ToriesOut happening after once again @Conservatives was caught lying about #COVID19 vaccine where's the fact checker you used on @realDonaldTrump? In #Elections2020 #ToriesEnemyOfThePeople #ToryScum #NoMoreCoverUps,https://twitter.com/Justice4Marky/status/1334612064346763264,Sat May 14 16:28:29 +0000 2016,Justice4Marky,FALSE,The truth will always comes out over the lies of the corrupt establishment judgment day is coming,127931,1533,0,6,Lancashire ,Officially MAD,Justice4Marky,80885,,,FALSE
,Mon Nov 09 06:18:33 +0000 2020,,https://twitter.com/JComm_NewsFeeds/status/1325684180483600384/photo/1,http://dlvr.it/RlHN4s,0,1325684180483600000,,,,en,,FALSE,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Moderna on track to report late-stage COVID-19 vaccine data next month: The vaccine is currently being tested in a large human trial, and Moderna was in talks with a WHO-led group for distribution. https://t.co/CJGuw7rDzj JPost https://t.co/QPAhjvDm76",https://twitter.com/JComm_NewsFeeds/status/1325684180483600384,Mon Feb 01 18:15:04 +0000 2010,JComm_NewsFeeds,FALSE,"News about Israel, Jewish Life, Middle East etc. / Nachrichten über Israel, jüdisches Leben, Nahost etc.",0,3165,3,88,Germany,Jewish Community,JComm_NewsFeeds,397229,,http://romanischersalon.wordpress.com,FALSE
,Mon Nov 09 08:41:33 +0000 2020,,,https://www.devdiscourse.com/article/international/1301491-zambia-in-talks-with-russia-on-accessing-sputnik-v-coronavirus-vaccine,0,1325720167867960000,,,,en,,FALSE,0,,,"<a href=""http://www.devdiscourse.com/"" rel=""nofollow"">Devdiscourse News Desk</a>",Zambia in talks with Russia on accessing Sputnik V coronavirus vaccine https://t.co/2DmTlKLSWX,https://twitter.com/dev_discourse/status/1325720167867965440,Tue Dec 05 08:31:31 +0000 2017,dev_discourse,FALSE,"Devdiscourse: World's leading Website for International Development News, Opinions, Interviews and Breaking News.",14569,86858,686,70,National Capital Region,Devdiscourse,dev_discourse,593070,,https://www.devdiscourse.com,FALSE
,Mon Nov 09 12:02:15 +0000 2020,,,https://united.states.news/qa-where-are-we-in-the-covid-19-vaccine-race-3/,0,1325770677580910000,,,,en,,FALSE,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Q&amp;A: Where are we in the COVID-19 vaccine race? https://t.co/s12BAAIuMB,https://twitter.com/US__News/status/1325770677580918785,Sun Jun 07 04:10:44 +0000 2020,US__News,FALSE,"News from all around the United States of America, from the local, business, political, to the scientific, technological, sports and entertainment news.",0,377,0,1,,United States News,US__News,50704,,https://united.states.news/,FALSE
,Mon Nov 09 11:53:22 +0000 2020,,,https://www.washingtonpost.com/health/2020/11/09/pfizer-coronavirus-vaccine-effective/,19,1325768441370800000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pfizer says its coronavirus vaccine is more than 90 percent effective compared to a placebo, and has no major side effects. Study involved 44,000 people.  https://t.co/UH4zVj2OT6",https://twitter.com/nancyleong/status/1325768441370800128,Fri Dec 31 16:59:38 +0000 2010,nancyleong,FALSE,Lawprof @UofDenver & alum @stanfordlaw. Teach/research constitutional law & civil rights. Book: #IdentityCapitalists (@StanfordPress 2021) #BlackLivesMatter,11285,26303,1988,401,"Denver, CO",Nancy Leong,nancyleong,12562,,https://www.law.du.edu/about/people/nancy-leong,TRUE
